date,SP500,NYSE,NASDAQ
2000-02-01,-0.02031300243690115,-0.04791875450928629,0.17558841618162369
2000-03-01,0.09232375063667675,0.08884048578839554,-0.026725706468715416
2000-04-01,-0.031279910953390555,-0.005481791910419531,-0.16929415579751428
2000-05-01,-0.0221587523957556,-0.0008695269802139194,-0.1267951135242349
2000-06-01,0.023651631558432307,-0.0010409262972039812,0.15374277552524163
2000-07-01,-0.01647626719348505,-0.003583821747037419,-0.051509521070203235
2000-08-01,0.05892822369153272,0.051564110591943546,0.11031904000867776
2000-09-01,-0.05496632087674769,-0.017180483724953177,-0.13563553350330082
2000-10-01,-0.004961774691885523,0.004484384431378885,-0.08615686671277167
2000-11-01,-0.08345618792359133,-0.055950275087624846,-0.2600879635047564
2000-12-01,0.0040452525456853294,0.042116659676201706,-0.05028628506563049
2001-01-01,0.03405023140926122,0.010253117817374147,0.11540372467317361
2001-02-01,-0.09683114482086808,-0.05688962247642948,-0.25351370817407304
2001-03-01,-0.06635853454793583,-0.051179806467546385,-0.15641180791008846
2001-04-01,0.07400701716559066,0.06368673241845535,0.13973405320694177
2001-05-01,0.005077276192499092,0.010717757589414845,-0.0027207811114848823
2001-06-01,-0.02535410549182071,-0.03152107592085329,0.02343806514293778
2001-07-01,-0.010798241319024626,-0.007781564261795992,-0.06373720652070958
2001-08-01,-0.06625562852916911,-0.048317620510012205,-0.11582218170079983
2001-09-01,-0.0852566327694193,-0.07779905711879032,-0.1861339997942011
2001-10-01,0.01793727226268249,0.00458568629902345,0.12018201572374032
2001-11-01,0.07248427993671047,0.05852672506618539,0.1329736169029463
2001-12-01,0.007545296609038132,0.01801621785329921,0.010214039120106655
2002-01-01,-0.01569637859279549,-0.01934609497365969,-0.00842856831099148
2002-02-01,-0.020984861119793585,0.00017328495924751053,-0.11062362008699367
2002-03-01,0.03608010666721562,0.03703554848095436,0.06368664430398585
2002-04-01,-0.06338465474468347,-0.0447046409880123,-0.0889883169214638
2002-05-01,-0.009122969376784695,-0.005939012923759535,-0.04389377640336356
2002-06-01,-0.0752143496031783,-0.06835018679729288,-0.0991542291330818
2002-07-01,-0.08229988459363824,-0.08145639706962093,-0.09676280333447629
2002-08-01,0.004869557741769448,0.00847123737561617,-0.010147250261530516
2002-09-01,-0.11656114050838795,-0.1066058421863243,-0.11495963773863771
2002-10-01,0.08291439611915408,0.05982246810251901,0.12622802026450852
2002-11-01,0.055500571043499924,0.04621831595037129,0.10622648868080287
2002-12-01,-0.06222926619772107,-0.04628227874845692,-0.10190419463669365
2003-01-01,-0.027797487730551573,-0.026615023202969823,-0.010992329793705125
2003-02-01,-0.017149829499765623,-0.03184710085162834,0.012496248659145337
2003-03-01,0.00832283659298838,0.00299380234371327,0.0027252325476974093
2003-04-01,0.07792734002637935,0.08144012721794702,0.08784178167446477
2003-05-01,0.04964571199782597,0.057517899151935836,0.08605994610519296
2003-06-01,0.01125859814062835,0.012760019430785974,0.016708954561773126
2003-07-01,0.016093504013478643,0.00972884272257346,0.06686586952801132
2003-08-01,0.017715355943955124,0.018035708725548716,0.04255645422459775
2003-09-01,-0.012016271671428491,-0.00285387668206738,-0.013070779193365745
2003-10-01,0.05350426070312331,0.05430600927621043,0.07815977832085697
2003-11-01,0.007103216390662581,0.01895169282520648,0.014412717168744038
2003-12-01,0.04951898497110463,0.06239230782743732,0.021753637615019805
2004-01-01,0.017128847057715113,0.013465534544168989,0.030856164760053595
2004-02-01,0.012135045336105321,0.021254233242183673,-0.01773983215227748
2004-03-01,-0.01649420417864178,-0.014040865479381992,-0.017694110954892928
2004-04-01,-0.016933314713064362,-0.024488761709443807,-0.037849661052959505
2004-05-01,0.012011028036096327,0.00701021158942261,0.034091778861411015
2004-06-01,0.017829111362111405,0.018073938837703807,0.030266082368547664
2004-07-01,-0.03489223484716675,-0.030732570713642104,-0.08158216248933137
2004-08-01,0.002284738319904278,0.007944172193999677,-0.026446603308028394
2004-09-01,0.009320306218270069,0.01781766979914501,0.031456909540534816
2004-10-01,0.013916952102817959,0.018466984969220945,0.0403740044285934
2004-11-01,0.037868776906828217,0.045708120407729425,0.05985384002751015
2004-12-01,0.03194257321148264,0.03428276387633744,0.036813745865369896
2005-01-01,-0.025615767695305713,-0.022348378933363833,-0.0533557567018903
2005-02-01,0.018726898056026897,0.03211697013354886,-0.005196707818297064
2005-03-01,-0.019302760921690698,-0.021217269624562718,-0.02591635481814336
2005-04-01,-0.020313511500222425,-0.022463084741591643,-0.03957789196587669
2005-05-01,0.02951224448901968,0.017820364566290436,0.0735041151082223
2005-06-01,-0.00014272436450557535,0.01162904245646601,-0.005459174104879949
2005-07-01,0.03533653227186839,0.03523879246600181,0.060308912378499
2005-08-01,-0.011285547502899007,0.0025953413242323364,-0.015098554248957896
2005-09-01,0.006924991121192825,0.018096799629088167,-0.000185951179104471
2005-10-01,-0.01790003390634265,-0.026532624452206832,-0.014695941511690513
2005-11-01,0.03458121395472791,0.02814273025396652,0.05170778004327925
2005-12-01,-0.0009528030899303985,0.014113980277858929,-0.01239273709524813
2006-01-01,0.025147895607580573,0.044469936653792175,0.044563737121438685
2006-02-01,0.0004530550834003222,-0.005683133710194355,-0.010651531962240668
2006-03-01,0.011034703509450239,0.02118556514969505,0.025276339205070997
2006-04-01,0.012082366269225986,0.028524504468460776,-0.007386837827827897
2006-05-01,-0.03140492932031602,-0.03389408253751647,-0.06386343109061787
2006-06-01,8.659275533506872e-05,-0.0024501563707950424,-0.0031210513881676505
2006-07-01,0.005072989405988437,0.008902556816273943,-0.03782272412389087
