SP500,NYSE,NASDAQ
-0.004197384,-0.010660508,-0.011667208
-0.031532779,-0.028259179,-0.021515386
0.053438876,0.048673503,0.06842911
-0.017549197,-0.014898714,-0.012702381
0.008484723,0.013718406,0.008237967
0.01043673,0.000593464,0.025693969
-0.021235559,-0.022972866,-0.01653821
0.019549683,0.007108286,0.027961796
-0.064624731,-0.067054663,-0.071060173
-0.026798731,-0.037730344,-0.033280735
0.07971938,0.065299433,0.089701172
0.000504742,-0.004922747,0.010808539
-0.017685658,-0.02590227,-0.020020235
-0.052067617,-0.051661631,-0.081834481
-0.004136906,-0.007624989,-0.012211362
0.06390499,0.065571429,0.066190152
0.002695761,0.022239492,-0.019593821
0.015208367,0.000390851,0.035524185
0.000910507,0.004659158,-0.021527315
0.034990433,0.027804024,0.063883057
-0.001219987,-0.001926638,0.009848486
-0.001235214,-0.004003429,0.018770664
-0.019616837,-0.022624505,-0.023400406
0.033603545,0.033451943,0.02559682
0.018037111,0.019953787,0.011103327
0.017726315,0.014906974,0.042136041
0.036523001,0.02546214,0.036830328
-0.000389273,-0.001698747,0.014705721
0.009050132,0.003754453,0.022722886
0.011509759,0.005355758,0.024647427
0.004802226,0.014013227,-0.009417426
0.019164018,0.017360334,0.033265594
0.000546284,-0.007715351,0.012607418
0.019119039,0.027693013,0.010414296
0.02194556,0.010741341,0.035048422
0.027695541,0.022972873,0.021512984
0.009783615,0.014234828,0.00427077
0.054657398,0.042725251,0.071017532
-0.039726108,-0.055002036,-0.018859943
-0.027252497,-0.015972724,-0.029236576
0.002715086,0.005070681,0.000399134
0.021378191,0.000940745,0.051823008
0.004830749,-0.001828876,0.009119615
0.035387951,0.03605218,0.021274584
0.029814315,0.004126952,0.055491181
0.004285093,0.005029234,-0.007822567
-0.071929346,-0.069180598,-0.096536357
0.017701752,0.020230495,0.003366961
-0.09626522,-0.090962543,-0.099648353
0.075742152,0.078156114,0.092969042
0.029295553,0.027726401,0.033861069
0.017765511,0.004109464,0.025789921
0.038560397,0.028247638,0.046273914
-0.068040894,-0.062895809,-0.082658032
0.066658302,0.062057794,0.071584518
0.013042725,0.001293418,0.020910815
-0.018257282,-0.025557613,-0.026341353
0.017035251,0.020812211,0.00456829
0.020225842,0.012764983,0.035975633
0.033480266,0.027954069,0.04401148
0.028188756,0.026792854,0.034829314
-0.00162942,-0.021719839,0.019681208
-0.087859537,-0.094945397,-0.065895838
-0.133667725,-0.183835151,-0.106727486
0.119420839,0.098858634,0.143643079
0.044286533,0.037165439,0.065348519
0.018221374,0.007666081,0.058219918
0.053636802,0.046913115,0.06602077
0.067719083,0.04552217,0.091552088
-0.04001812,-0.026700109,-0.053009053
-0.028055692,-0.021691765,-0.023183136
0.102146428,0.11945964,0.111507174
0.036449048,0.036338871,0.054985706
-0.011199138,-0.008823763,0.014053959
0.025756877,0.041714183,0.009264735
0.041562807,0.038634522,0.00412422
0.05109733,0.038821284,0.052626727
0.005471493,0.020524301,-0.015440833
0.021970873,0.001090304,0.053473839
