date,SP500,NYSE,NASDAQ,b30ret,b20ret,b10ret,b7ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret
2002-09-01,-0.11656114050838795,-0.1066058421863243,-0.11495963773863771,0.042904,0.041489,0.04689,0.036019,0.030206,0.010277,0.004035,0.001606,0.001414,0.00166
2002-10-01,0.08291439611915408,0.05982246810251901,0.12622802026450852,-0.041985,-0.028103,-0.020221,-0.008435,-0.003478,0.002358,0.002565,0.001475,0.001334,0.001657
2002-11-01,0.055500571043499924,0.04621831595037129,0.10622648868080287,-0.003344,-0.011966,-0.021163,-0.019251,-0.017077,-0.005049,-0.000347,0.001557,0.001166,0.0
2002-12-01,-0.06222926619772107,-0.04628227874845692,-0.10190419463669365,0.042637,0.044021,0.035968,0.034456,0.028048,0.011089,0.00448,0.001199,0.001079,-0.002206
2003-01-01,-0.027797487730551573,-0.026615023202969823,-0.010992329793705125,-0.004782,-0.004343,-0.008285,-0.007164,-0.006167,0.000875,0.000443,0.001084,0.000934,0.004422
2003-02-01,-0.017149829499765623,-0.03184710085162834,0.012496248659145337,0.029008,0.030871,0.02623,0.021521,0.016693,0.005203,0.001683,0.00085,0.000871,0.007705
2003-03-01,0.00832283659298838,0.00299380234371327,0.0027252325476974093,-0.01793,-0.011278,-0.005651,-0.002253,2e-05,0.0019,0.002141,0.001198,0.00102,0.006008
2003-04-01,0.07792734002637935,0.08144012721794702,0.08784178167446477,0.011381,0.009585,-6.9e-05,0.0024,0.001737,0.001626,0.001039,0.00093,0.000939,-0.002172
2003-05-01,0.04964571199782597,0.057517899151935836,0.08605994610519296,0.064188,0.057641,0.042443,0.03375,0.025215,0.004609,0.001078,0.000958,0.000903,-0.001632
2003-06-01,0.01125859814062835,0.012760019430785974,0.016708954561773126,-0.023214,-0.01402,-0.009082,-0.004886,-0.002791,0.0022,0.002162,0.001439,0.000984,0.00109
2003-07-01,0.016093504013478643,0.00972884272257346,0.06686586952801132,-0.104917,-0.093603,-0.066819,-0.046952,-0.03069,-0.006811,-0.000905,0.000746,0.000674,0.001089
2003-08-01,0.017715355943955124,0.018035708725548716,0.04255645422459775,0.023022,0.009902,0.004672,-0.000653,-0.002624,-0.002283,0.000532,0.000717,0.000689,0.003806
2003-09-01,-0.012016271671428491,-0.00285387668206738,-0.013070779193365745,0.055228,0.058097,0.046768,0.04035,0.033421,0.01215,0.003814,0.001072,0.000865,0.00325
2003-10-01,0.05350426070312331,0.05430600927621043,0.07815977832085697,-0.031384,-0.029366,-0.024426,-0.018579,-0.014593,-0.0051,-0.000772,0.000774,0.0007,-0.00108
2003-11-01,0.007103216390662581,0.01895169282520648,0.014412717168744038,0.004057,0.003887,0.001662,-9.4e-05,-0.000681,-0.001446,-0.000455,0.000804,0.000725,-0.002703
2003-12-01,0.04951898497110463,0.06239230782743732,0.021753637615019805,0.013211,0.016052,0.010311,0.011373,0.010046,0.006885,0.003836,0.000971,0.000831,-0.001084
